"animalID","AgeYears","season","BirthDate","Precision"
1464,21,2023,2023-02-04,3
1470,3,2005,NA,NA
1470,4,2006,2006-01-08,3
1470,5,2007,2007-01-09,1
1479,3,2005,NA,NA
1479,4,2006,2006-01-16,2
1479,5,2007,2007-01-24,1
1479,6,2008,NA,NA
1483,4,2006,2006-01-27,2
1483,6,2008,2008-02-01,NA
1483,7,2009,NA,NA
1497,4,2006,2006-01-21,5
1497,5,2007,NA,NA
1536,3,2006,NA,NA
1536,4,2007,2007-01-18,9
1536,5,2008,2008-02-01,9
1548,9,2012,NA,NA
1553,4,2007,NA,NA
1561,3,2005,NA,NA
1561,4,2006,2006-02-03,NA
1561,5,2007,2007-02-17,NA
1561,7,2009,2009-02-10,1
1561,8,2010,2010-02-05,1
1561,9,2011,2011-02-10,6
1561,10,2012,2012-02-14,8
1561,11,2013,2013-02-04,3
1561,12,2014,2014-02-04,3
1561,13,2015,2015-02-10,2
1561,14,2016,2016-02-08,NA
1561,15,2017,NA,NA
1561,16,2018,2018-03-03,31
1561,17,2019,2019-02-12,6
1561,18,2020,2020-02-14,2
1561,19,2021,2021-02-16,4
1561,20,2022,2022-02-13,1
1561,21,2023,2023-02-07,5
1608,4,2007,2007-01-11,NA
1608,6,2009,2009-01-09,1
1636,3,2006,NA,NA
1636,4,2007,2007-01-19,3
1636,5,2008,NA,NA
1636,6,2009,2009-01-01,4
1636,7,2010,2009-12-31,2
1636,8,2011,2011-01-06,NA
1636,9,2012,2012-01-07,1
1636,10,2013,2013-01-07,2
1636,11,2014,NA,NA
1657,4,2007,2007-01-25,NA
1657,5,2008,NA,NA
1657,7,2010,NA,NA
1657,8,2011,NA,NA
1657,9,2012,NA,NA
1657,10,2013,2013-02-06,NA
1672,5,2008,NA,NA
1738,4,2007,NA,NA
1755,4,2007,NA,NA
1770,3,2006,NA,NA
1782,3,2006,2006-01-08,3
1782,4,2007,NA,NA
1782,5,2008,2008-01-17,NA
1782,6,2009,2009-01-12,4
1782,7,2010,2010-01-11,NA
1784,3,2006,NA,NA
1784,4,2007,NA,NA
1784,5,2008,NA,NA
1784,6,2009,2009-01-16,9
1784,7,2010,2010-01-14,1
1784,8,2011,2011-01-20,3
1784,9,2012,2012-01-17,3
1784,10,2013,2013-01-26,8
1784,11,2014,NA,NA
1784,12,2015,NA,NA
1784,14,2017,NA,NA
1784,16,2019,2019-02-06,9
1784,18,2021,NA,NA
1785,6,2009,NA,NA
1785,7,2010,NA,NA
1787,3,2006,NA,NA
1787,4,2007,NA,NA
1787,5,2008,NA,NA
1790,3,2006,NA,NA
1790,4,2007,2007-01-19,NA
1790,5,2008,2008-02-01,10
1790,6,2009,2009-02-19,28
1790,7,2010,2010-01-20,3
1790,8,2011,2011-01-21,2
1790,9,2012,NA,NA
1803,3,2006,NA,NA
1803,4,2007,NA,NA
1803,5,2008,2008-02-04,2
1803,7,2010,2010-01-22,NA
1803,8,2011,2011-01-26,1
1803,9,2012,2012-01-28,1
1803,10,2013,2013-02-07,11
1803,11,2014,2014-02-20,NA
1803,12,2015,2015-01-25,1
1803,13,2016,2016-01-30,NA
1803,14,2017,2017-02-15,26
1803,15,2018,NA,NA
1856,4,2007,2007-01-26,7
1856,5,2008,2008-01-09,NA
1856,6,2009,2009-01-09,1
1869,4,2007,2007-01-16,1
1869,5,2008,2008-02-02,10
1869,6,2009,NA,NA
1869,7,2010,NA,NA
1881,4,2007,2007-02-15,NA
1881,5,2008,2008-02-12,NA
1886,3,2006,NA,NA
1898,7,2010,NA,NA
1902,4,2007,NA,NA
1902,5,2008,2008-01-11,2
1902,6,2009,2009-02-04,17
1902,8,2011,2011-01-17,1
1902,11,2014,2014-01-28,NA
1902,12,2015,2015-02-05,9
1902,13,2016,NA,NA
1906,3,2006,2006-01-20,2
1906,4,2007,2007-01-24,1
1906,5,2008,2008-02-05,NA
1906,6,2009,NA,NA
1906,14,2017,NA,NA
1909,3,2006,NA,NA
1909,4,2007,2007-01-29,NA
1909,5,2008,2008-02-09,NA
1909,6,2009,2009-01-31,5
1909,7,2010,2010-01-26,1
1914,3,2006,NA,NA
1914,4,2007,2007-01-12,1
1914,5,2008,2008-02-04,3
1914,6,2009,2009-02-10,NA
1914,7,2010,NA,NA
1914,8,2011,2011-01-16,2
1914,9,2012,NA,NA
1914,11,2014,2014-01-27,6
1914,12,2015,NA,NA
1914,13,2016,2016-01-31,NA
1914,14,2017,2017-02-15,27
1914,15,2018,2018-02-01,7
1920,3,2006,2006-01-22,10
1920,5,2008,2008-01-18,4
1920,6,2009,NA,NA
1920,7,2010,2010-01-19,1
1920,8,2011,2011-01-24,3
1922,3,2006,NA,NA
1922,4,2007,2007-01-09,2
1922,6,2009,2009-01-27,21
1940,5,2008,NA,NA
1962,3,2006,NA,NA
1972,7,2010,NA,NA
2024,5,2008,NA,NA
2024,7,2010,2010-01-22,1
2024,8,2011,NA,NA
2024,9,2012,2012-01-17,1
2024,10,2013,2013-01-21,1
2024,11,2014,NA,NA
2024,12,2015,2015-01-17,2
2024,13,2016,2016-01-24,2
2024,14,2017,NA,NA
2034,3,2006,NA,NA
2053,5,2008,NA,NA
2053,9,2012,NA,NA
2078,8,2011,NA,NA
2078,9,2012,NA,NA
2078,11,2014,2014-01-16,1
2078,12,2015,2015-01-17,1
2078,13,2016,2016-01-20,1
2078,14,2017,2017-01-17,1
2078,15,2018,2018-01-23,2
2078,16,2019,2019-01-24,8
2078,17,2020,2020-01-19,1
2078,18,2021,NA,NA
2093,4,2007,NA,NA
2108,3,2006,NA,NA
2108,4,2007,2007-01-21,3
2114,5,2008,NA,NA
2116,6,2009,NA,NA
2118,4,2007,NA,NA
2120,9,2012,NA,NA
2122,4,2007,2007-01-03,NA
2123,4,2007,NA,NA
2123,5,2008,NA,NA
2123,6,2009,NA,NA
2123,7,2010,2010-01-15,1
2125,4,2007,NA,NA
2129,4,2007,2007-01-05,4
2152,3,2006,NA,NA
2152,4,2007,NA,NA
2152,5,2008,NA,NA
2152,6,2009,2009-01-23,3
2152,8,2011,2011-01-13,1
2152,9,2012,2012-01-21,3
2156,3,2006,NA,NA
2156,4,2007,2007-01-27,1
2156,5,2008,2008-01-23,10
2156,6,2009,2009-01-16,1
2156,7,2010,2010-01-04,3
2156,8,2011,NA,NA
2156,9,2012,2012-01-18,2
2156,10,2013,NA,NA
2156,11,2014,2014-01-03,1
2156,13,2016,2016-01-20,NA
2162,3,2006,2006-01-24,7
2162,4,2007,2007-01-23,NA
2192,4,2007,NA,NA
2219,3,2006,NA,NA
2219,4,2007,2007-01-22,3
2219,5,2008,2008-02-20,NA
2219,6,2009,2009-01-26,NA
2219,7,2010,2010-03-05,2
2219,8,2011,2011-02-14,1
2219,9,2012,NA,NA
2219,14,2017,2017-02-24,NA
2251,3,2007,NA,NA
2251,4,2008,NA,NA
2253,4,2008,2008-01-11,NA
2253,5,2009,NA,NA
2273,2005,2005,2005-01-15,5
2306,3,2007,NA,NA
2306,4,2008,2008-01-20,1
2306,5,2009,NA,NA
2306,7,2011,NA,NA
2320,15,2019,NA,NA
2341,4,2008,2008-01-18,1
2341,5,2009,2009-01-28,6
2341,6,2010,NA,NA
2341,7,2011,2011-01-08,1
2341,8,2012,NA,NA
2341,9,2013,2013-01-07,2
2341,10,2014,2014-01-07,1
2341,11,2015,2015-01-12,2
2341,12,2016,NA,NA
2341,13,2017,2017-01-03,1
2341,14,2018,NA,NA
2341,15,2019,2019-01-11,1
2341,16,2020,NA,NA
2341,17,2021,2021-01-09,1
2361,3,2007,NA,NA
2373,3,2007,NA,NA
2373,4,2008,NA,NA
2373,5,2009,NA,NA
2383,3,2007,2007-01-14,NA
2383,6,2010,NA,NA
2383,7,2011,2011-01-21,8
2383,8,2012,NA,NA
2392,4,2008,NA,NA
2392,5,2009,2009-02-01,7
2406,4,2008,2008-01-12,NA
2406,5,2009,NA,NA
2406,6,2010,2010-01-08,2
2406,7,2011,2011-01-05,5
2406,8,2012,2012-01-07,1
2406,9,2013,2013-01-13,3
2406,10,2014,2014-01-14,2
2406,11,2015,2015-01-19,NA
2406,12,2016,NA,NA
2406,13,2017,2017-01-24,NA
2445,11,2015,2015-02-19,5
2455,6,2010,NA,NA
2456,3,2007,NA,NA
2456,4,2008,NA,NA
2456,5,2009,2009-01-13,1
2456,6,2010,2010-01-11,1
2456,7,2011,2011-01-19,1
2456,8,2012,NA,NA
2457,4,2008,NA,NA
2457,5,2009,NA,NA
2457,6,2010,2010-02-10,NA
2457,7,2011,2011-02-04,NA
2457,8,2012,NA,NA
2464,6,2010,2010-01-28,4
2469,3,2007,2007-02-14,30
2479,7,2011,2011-02-04,NA
2489,6,2010,NA,NA
2489,7,2011,NA,NA
2501,5,2009,NA,NA
2501,6,2010,2010-01-30,8
2501,7,2011,2011-01-23,1
2501,8,2012,NA,NA
2507,3,2007,NA,NA
2507,4,2008,2008-02-01,NA
2514,4,2008,2008-02-01,NA
2514,5,2009,2009-02-19,24
2515,3,2007,NA,NA
2515,4,2008,2008-02-05,NA
2515,5,2009,2009-01-20,2
2515,6,2010,2010-01-12,2
2515,7,2011,NA,NA
2515,8,2012,NA,NA
2517,4,2008,2008-01-14,1
2529,12,2016,NA,NA
2555,7,2011,NA,NA
2587,3,2007,2007-01-19,NA
2587,4,2008,NA,NA
2587,7,2011,NA,NA
2604,3,2007,NA,NA
2610,4,2008,2008-01-11,NA
2610,5,2009,2009-02-09,NA
2610,6,2010,NA,NA
2610,7,2011,2011-01-14,1
2610,8,2012,2012-01-24,6
2614,4,2008,NA,NA
2614,6,2010,NA,NA
2622,4,2008,NA,NA
2622,5,2009,2009-01-20,4
2622,6,2010,NA,NA
3000,4,2009,NA,NA
3129,3,2009,NA,NA
3129,4,2010,2010-01-07,1
3129,5,2011,2011-01-05,5
3129,6,2012,NA,NA
3188,3,2008,NA,NA
3188,4,2009,2009-01-13,3
3188,5,2010,2010-01-10,1
3188,6,2011,2011-01-23,NA
3188,7,2012,2012-01-27,1
3188,8,2013,2013-01-29,1
3188,9,2014,2014-02-25,28
3188,10,2015,2015-01-19,3
3188,11,2016,2016-01-26,NA
3188,12,2017,2017-01-31,NA
3188,13,2018,NA,NA
3188,14,2019,NA,NA
3188,15,2020,NA,NA
3188,16,2021,2021-02-02,7
3188,17,2022,NA,NA
3190,12,2017,NA,NA
3192,4,2009,2009-01-16,NA
3192,5,2010,2010-01-13,NA
3201,5,2010,NA,NA
3201,6,2011,2011-01-26,1
3209,4,2009,NA,NA
3211,4,2009,2009-01-10,5
3211,5,2010,2010-01-14,2
3211,6,2011,NA,NA
3211,7,2012,2012-01-13,4
3211,8,2013,2013-01-23,1
3211,9,2014,2014-01-28,NA
3211,10,2015,NA,NA
3211,11,2016,NA,NA
3218,3,2008,NA,NA
3218,4,2009,2009-01-16,1
3218,5,2010,2010-01-17,1
3218,6,2011,2011-01-17,1
3218,7,2012,2012-01-24,1
3218,8,2013,2013-02-01,3
3218,9,2014,2014-01-31,8
3218,10,2015,2015-01-27,2
3218,11,2016,2016-02-08,18
3220,3,2008,NA,NA
3220,4,2009,2009-01-06,2
3228,10,2015,NA,NA
3265,6,2011,NA,NA
3270,10,2015,NA,NA
3275,4,2009,2009-01-13,5
3275,8,2013,NA,NA
3282,7,2012,NA,NA
3355,4,2010,2010-01-05,3
3355,5,2011,2011-01-11,3
3355,6,2012,2012-01-26,1
3355,7,2013,NA,NA
3367,3,2009,NA,NA
3367,4,2010,2010-01-13,4
3367,5,2011,2011-01-24,NA
3367,6,2012,NA,NA
3403,3,2009,NA,NA
3403,4,2010,NA,NA
3403,5,2011,2011-01-12,NA
3405,3,2009,NA,NA
3423,3,2009,NA,NA
3669,4,2010,2010-02-05,NA
3674,3,2009,NA,NA
3674,4,2010,2010-01-25,1
3674,5,2011,NA,NA
3674,6,2012,2012-01-25,1
3674,7,2013,2013-01-30,1
3674,8,2014,NA,NA
3674,9,2015,NA,NA
3687,4,2010,NA,NA
3687,6,2012,NA,NA
3687,7,2013,2013-01-17,NA
3687,8,2014,2014-01-06,1
3687,9,2015,2015-01-10,8
3687,10,2016,2016-01-12,8
3687,14,2020,2020-01-05,2
3687,15,2021,2020-12-30,1
3687,16,2022,NA,NA
3707,18,2024,NA,NA
3710,3,2009,NA,NA
3710,4,2010,2010-01-03,1
3710,5,2011,NA,NA
3710,6,2012,2012-01-08,2
3712,3,2009,NA,NA
3731,8,2014,NA,NA
3743,3,2009,NA,NA
3743,4,2010,2010-01-24,5
3743,5,2011,2011-01-21,1
3743,6,2012,2012-01-30,3
3743,7,2013,NA,NA
3778,3,2009,NA,NA
3778,4,2010,2010-01-07,2
3778,5,2011,2011-01-08,1
3778,6,2012,2012-01-13,1
3778,7,2013,2013-02-06,NA
3778,8,2014,2014-01-13,NA
3778,9,2015,2015-01-16,2
3778,10,2016,NA,NA
3785,3,2009,NA,NA
3785,4,2010,2010-02-03,3
3785,5,2011,NA,NA
3785,6,2012,NA,NA
3799,3,2009,NA,NA
3799,4,2010,NA,NA
3799,5,2011,2011-01-08,5
3799,6,2012,NA,NA
3799,7,2013,NA,NA
5818,15,1996,1996-01-10,1
5818,16,1997,1997-01-14,3
5818,17,1998,1998-01-29,16
5818,19,2000,2000-01-28,7
6022,14,1996,NA,NA
6332,14,1996,1996-01-29,1
6332,15,1997,NA,NA
6332,16,1998,1998-02-18,26
6332,17,1999,NA,NA
6332,19,2001,2001-01-22,4
6332,20,2002,2002-02-05,11
6424,14,1996,1996-02-27,NA
6517,13,1996,NA,NA
6517,16,1999,1999-02-10,8
6543,14,1997,1997-01-08,NA
6543,16,1999,NA,NA
6605,13,1996,1996-02-04,4
6605,14,1997,NA,NA
6607,13,1996,1996-02-02,1
6607,16,1999,1999-01-15,8
7259,12,1996,1996-01-16,1
7259,13,1997,1997-02-01,4
7259,14,1998,NA,NA
7259,15,1999,NA,NA
7259,16,2000,2000-02-01,NA
7259,17,2001,NA,NA
7259,18,2002,2002-03-01,NA
7612,12,1996,1996-01-17,NA
7679,12,1996,1996-01-18,1
7679,13,1997,1997-01-22,3
7679,14,1998,1998-02-15,NA
7838,12,1996,1996-02-02,3
7838,13,1997,NA,NA
7838,15,1999,NA,NA
7838,18,2002,2002-02-24,21
7838,19,2003,2003-02-25,NA
7838,20,2004,2004-02-29,1
7838,21,2005,2005-02-28,NA
8055,12,1996,1996-01-26,1
8055,13,1997,NA,NA
8055,17,2001,2001-02-06,NA
8055,18,2002,2002-02-10,NA
8070,12,1996,1996-01-06,1
8070,13,1997,1997-01-10,1
8070,15,1999,1999-01-22,11
8070,16,2000,NA,NA
8070,22,2006,NA,NA
8070,23,2007,NA,NA
8123,12,1996,1996-01-20,2
8184,12,1996,1996-01-31,1
8184,15,1999,NA,NA
8218,12,1996,1996-02-13,NA
8218,13,1997,NA,NA
8218,14,1998,1998-02-27,NA
8308,12,1996,1996-01-29,1
8308,13,1997,1997-01-29,1
8308,14,1998,1998-02-15,NA
8308,15,1999,NA,NA
8342,12,1996,1996-01-14,1
8342,13,1997,1997-01-16,1
8342,18,2002,2002-02-17,NA
8413,11,1996,1996-01-31,14
8413,12,1997,NA,NA
8413,13,1998,1998-01-30,NA
8474,12,1997,1997-02-13,NA
8474,13,1998,1998-02-27,NA
8482,15,1996,1996-01-28,2
8482,16,1997,NA,NA
8482,18,1999,NA,NA
8680,11,1996,1996-01-06,1
8680,12,1997,1997-01-09,1
8749,11,1996,1996-01-28,2
8749,12,1997,1997-02-01,1
8882,12,1998,NA,NA
8883,11,1997,NA,NA
8883,12,1998,1998-02-20,NA
8883,16,2002,2002-02-27,NA
8883,18,2004,2004-02-21,NA
8891,12,1998,NA,NA
8909,10,1996,1996-01-28,2
8909,11,1997,NA,NA
8909,12,1998,1998-02-18,14
8934,10,1996,1996-01-18,1
8934,11,1997,1997-01-23,4
8946,10,1996,NA,NA
8946,11,1997,1997-02-20,NA
8946,12,1998,1998-02-20,NA
8953,9,1996,1996-01-14,3
8953,12,1999,NA,NA
8959,10,1997,1997-02-04,NA
9010,9,1996,1996-01-21,2
9010,10,1997,NA,NA
9010,11,1998,NA,NA
9010,12,1999,NA,NA
9010,14,2001,2001-02-04,5
9010,15,2002,2002-02-02,4
9010,16,2003,2003-02-21,NA
9010,17,2004,2004-02-09,8
9010,18,2005,2005-02-17,18
9136,12,1997,NA,NA
9136,16,2001,NA,NA
9151,11,1996,1996-01-12,1
9151,12,1997,1997-01-28,NA
9151,14,1999,NA,NA
9151,16,2001,2001-01-18,NA
9172,11,1996,1996-01-22,3
9172,12,1997,1997-01-30,NA
9172,14,1999,NA,NA
9176,13,1998,1998-01-31,6
9176,15,2000,2000-02-14,NA
9176,16,2001,2001-02-08,23
9176,17,2002,2002-02-18,NA
9176,19,2004,2004-01-25,2
9187,11,1996,1996-01-08,3
9187,12,1997,NA,NA
9187,17,2002,2002-02-02,8
9187,18,2003,2003-02-06,NA
9208,12,1997,NA,NA
9260,11,1997,1997-02-04,NA
9275,10,1996,1996-01-17,2
9311,10,1996,1996-01-27,1
9450,10,1996,1996-01-17,2
9463,10,1996,1996-01-20,1
9463,11,1997,NA,NA
9463,12,1998,1998-02-04,6
9554,11,1997,NA,NA
9554,12,1998,NA,NA
9615,10,1996,1996-01-23,1
9615,11,1997,NA,NA
9615,12,1998,NA,NA
9615,13,1999,NA,NA
9615,14,2000,2000-01-20,2
9615,15,2001,2001-01-25,4
9615,16,2002,NA,NA
9615,17,2003,NA,NA
9623,10,1996,1996-01-18,1
9623,11,1997,NA,NA
9623,12,1998,1998-01-22,NA
9623,15,2001,2001-01-28,NA
9623,16,2002,2002-01-26,7
9623,19,2005,2005-01-18,3
9651,8,1996,1996-01-12,1
9651,9,1997,1997-02-04,NA
9663,8,1996,1995-12-31,1
9663,9,1997,1997-01-16,NA
9678,7,1996,1996-02-02,NA
9684,9,1998,1998-01-17,NA
9684,14,2003,2003-01-18,NA
9729,7,1996,1996-02-02,NA
9759,1996,1996,1996-02-11,1
9759,1997,1997,NA,NA
9759,1998,1998,NA,NA
9759,1999,1999,NA,NA
9759,2001,2001,2001-01-24,2
9759,2003,2003,2003-01-23,3
9759,2004,2004,2004-01-31,8
9807,9,1999,1999-01-10,7
9807,13,2003,2002-12-29,4
9811,7,1997,1997-02-04,NA
9820,7,1997,NA,NA
9820,13,2003,2003-02-05,NA
9861,8,1998,NA,NA
9881,6,1996,1996-01-23,NA
9904,6,1996,1995-12-31,NA
9904,9,1999,NA,NA
9904,11,2001,2001-01-22,NA
9904,12,2002,2002-01-15,9
9904,14,2004,NA,NA
9909,6,1996,1996-01-21,2
9960,5,1996,1996-02-17,NA
9960,6,1997,NA,NA
9960,7,1998,1998-02-28,NA
9960,13,2004,NA,NA
9960,15,2006,2006-02-21,NA
9960,16,2007,NA,NA
9963,5,1996,1996-01-23,1
9988,5,1996,1996-01-26,NA
9991,5,1996,1996-02-25,NA
9999,5,1996,1996-01-15,1
9999,6,1997,1997-01-21,2
10022,5,1996,NA,NA
10022,6,1997,1997-02-04,NA
10023,5,1996,NA,NA
10031,5,1996,1995-12-30,1
10031,7,1998,NA,NA
10103,4,1996,1996-01-18,2
10103,5,1997,1997-02-04,NA
10103,7,1999,NA,NA
10110,4,1996,1996-01-01,1
10110,5,1997,1997-01-19,1
10110,6,1998,1998-01-29,NA
10135,4,1996,1996-01-12,1
10135,6,1998,1998-01-17,NA
10135,8,2000,2000-01-21,NA
10136,5,1997,NA,NA
10152,5,1997,1997-02-04,NA
10177,4,1996,NA,NA
10193,9,1996,1996-01-25,1
10200,12,1999,NA,NA
10200,14,2001,2001-01-14,NA
10200,15,2002,2002-01-25,NA
10200,17,2004,2004-01-26,3
10200,20,2007,NA,NA
10210,9,1996,1996-01-22,2
10210,10,1997,1997-01-28,NA
10210,11,1998,1998-01-31,NA
10210,13,2000,2000-02-18,NA
10210,14,2001,2001-02-04,NA
10210,15,2002,NA,NA
10215,9,1996,1995-12-31,2
10215,12,1999,1999-01-09,NA
10215,14,2001,2001-01-09,NA
10286,9,1996,1996-01-19,2
10286,10,1997,NA,NA
10293,9,1996,1996-02-02,1
10295,9,1996,1996-01-19,2
10295,10,1997,NA,NA
10295,14,2001,2001-02-23,NA
10296,9,1996,1995-12-21,NA
10296,12,1999,1999-01-04,1
10296,14,2001,2001-01-06,NA
10304,10,1997,NA,NA
10322,9,1996,1996-01-25,1
10322,11,1998,1998-02-11,NA
10354,9,1996,1996-01-23,NA
10475,9,1997,NA,NA
10475,12,2000,2000-02-18,NA
10488,8,1996,NA,NA
10488,9,1997,1997-02-04,1
10488,10,1998,1998-02-09,19
10488,11,1999,NA,NA
10488,12,2000,2000-02-14,8
10488,13,2001,2001-01-29,NA
10488,14,2002,2002-02-28,1
10488,15,2003,2003-01-21,4
10488,16,2004,2004-02-10,NA
10488,17,2005,2005-02-01,NA
10488,18,2006,2006-01-26,1
10488,19,2007,NA,NA
10499,8,1996,1996-01-26,NA
10499,9,1997,NA,NA
10503,8,1996,1996-01-16,1
10523,8,1996,1996-01-16,1
10551,8,1996,1996-01-14,1
10551,9,1997,1997-01-14,3
10551,10,1998,1998-01-21,8
10551,11,1999,1999-01-14,5
10551,12,2000,2000-01-18,1
10551,13,2001,2001-01-17,4
10551,14,2002,2002-02-09,NA
10551,15,2003,NA,NA
10553,8,1996,1996-01-28,NA
10562,8,1996,1996-02-02,1
10562,9,1997,NA,NA
10562,10,1998,1998-02-25,NA
10564,8,1996,1996-01-08,1
10564,9,1997,1997-01-08,NA
10564,10,1998,NA,NA
10564,11,1999,1999-01-08,3
10564,13,2001,2001-01-06,6
10591,10,1998,1998-02-20,NA
10599,8,1996,1996-01-26,1
10599,9,1997,1997-01-27,NA
10599,10,1998,NA,NA
10599,11,1999,NA,NA
10606,11,1999,NA,NA
10616,8,1996,1996-01-18,1
10616,9,1997,1997-01-10,1
10616,10,1998,1998-01-22,NA
10631,8,1996,1996-01-26,1
10631,9,1997,1997-01-27,3
10631,11,1999,NA,NA
10656,8,1996,1996-01-22,1
10656,9,1997,1997-01-25,2
10656,10,1998,1998-01-29,6
10656,11,1999,NA,NA
10656,12,2000,2000-01-20,3
10656,13,2001,NA,NA
10656,14,2002,2002-01-22,6
10656,16,2004,2004-02-12,26
